source,target,asso,diss,adja
Actinacidiphila bryophytorum,Streptacidiphilus sp. P02-A3a,0.757749114,0.348030808,0.651969192
Actinacidiphila bryophytorum,Streptacidiphilus sp. PB12-B1b,0.750674813,0.353075903,0.646924097
Actinacidiphila bryophytorum,Mycolicibacterium sp. P1-18,0.760627287,0.34595716,0.65404284
Actinacidiphila bryophytorum,Actinomyces sp. HMT 175,0.760179639,0.346280494,0.653719506
Actinacidiphila bryophytorum,Bacillus subtilis,0.751753433,0.352311345,0.647688655
Actinacidiphila sp. ITFR-21,Embleya sp. NBC_00888,0.759004219,0.347128061,0.652871939
Actinacidiphila sp. ITFR-21,Actinomyces sp. HMT 175,0.753822761,0.350839877,0.649160123
Actinacidiphila sp. ITFR-21,Rubrobacter marinus,0.756115062,0.349202618,0.650797382
Embleya sp. NBC_00888,Embleya sp. NBC_00896,0.763956871,0.343542668,0.656457332
Embleya sp. NBC_00888,Streptacidiphilus sp. P02-A3a,0.766441126,0.341730064,0.658269936
Embleya sp. NBC_00888,Streptacidiphilus sp. PB12-B1b,0.758522517,0.347474807,0.652525193
Embleya sp. NBC_00888,Actinomyces sp. HMT 175,0.760037397,0.346383172,0.653616828
Embleya sp. NBC_00888,Actinomyces sp. HMT897,0.752786487,0.351577525,0.648422475
Embleya sp. NBC_00888,Actinomyces slackii,0.753618686,0.350985266,0.649014734
Embleya sp. NBC_00888,Candidatus Planktophila lacus,0.753591623,0.351004542,0.648995458
Embleya sp. NBC_00888,Rubrobacter marinus,0.751869025,0.352229311,0.647770689
Embleya sp. NBC_00888,Streptococcus merionis,0.753631234,0.350976328,0.649023672
Embleya sp. NBC_00896,Streptacidiphilus sp. P02-A3a,0.764732881,0.342977491,0.657022509
Embleya sp. NBC_00896,Mycolicibacterium sp. P1-18,0.750695386,0.353061336,0.646938664
Streptacidiphilus sp. P02-A3a,Streptococcus merionis,0.754685191,0.350224791,0.649775209
Streptacidiphilus sp. PB12-B1b,Actinomyces sp. HMT 175,0.756607427,0.348849949,0.651150051
Streptacidiphilus sp. PB12-B1b,Actinomyces sp. HMT897,0.755458896,0.349672063,0.650327937
Streptacidiphilus sp. PB12-B1b,Actinomyces sp. oral taxon 897,0.751206069,0.35269954,0.64730046
Streptacidiphilus sp. PB12-B1b,Actinomyces slackii,0.757843402,0.347963071,0.652036929
Streptacidiphilus sp. PB12-B1b,Actinomyces capricornis,0.751464003,0.352516664,0.647483336
Streptacidiphilus sp. PB12-B1b,Actinomyces procaprae,0.757325941,0.348334651,0.651665349
Streptacidiphilus sp. PB12-B1b,Nostoc sphaeroides,0.754067114,0.350665714,0.649334286
Mycolicibacterium sp. TUM20985,Mycolicibacterium sediminis,0.762438565,0.344645785,0.655354215
Mycolicibacterium sp. TUM20985,Mycobacterium sp. AMU20-3851,0.754614529,0.350275228,0.649724772
Mycolicibacterium sp. P1-18,Bacillus subtilis,0.756450525,0.348962373,0.651037627
Mycolicibacterium sediminis,Mycobacterium sp. AMU20-3851,0.752001793,0.352135064,0.647864936
Mycolicibacterium confluentis,Chroococcidiopsis sp. CCMEE 29,0.775231508,0.335237596,0.664762404
Mycolicibacterium confluentis,Synechococcus sp. Minos11,0.772974735,0.336916359,0.663083641
Mycobacterium sp. JS623,Mycobacterium sp. DL,0.76329763,0.344022071,0.655977929
Mycobacterium sp. JS623,Mycobacterium sp. AMU20-3851,0.755380531,0.349728086,0.650271914
Mycobacterium sp. DL,Mycobacterium sp. AMU20-3851,0.760842715,0.34580145,0.65419855
