source,target,asso,diss,adja
Acidisarcina,Frederiksenia,0.844616025,0.278732825,0.721267175
Acidisarcina,Fretibacter,0.815385278,0.303821265,0.696178735
Acidisarcina,Halalkalicoccus,0.839107259,0.283630694,0.716369306
Acidisarcina,Halorussus,0.813368979,0.305475875,0.694524125
Acidisarcina,Halostagnicola,0.80175343,0.314838506,0.685161494
Actinobaculum,Aeromonas,0.805787492,0.311618764,0.688381236
Actinobaculum,Aggregatibacter,0.858190874,0.266279107,0.733720893
Actinobaculum,Alloyangia,0.83945655,0.283322652,0.716677348
Actinobaculum,Alphabaculovirus,0.840486832,0.282412082,0.717587918
Actinobaculum,Anaerobutyricum,0.848320417,0.275390253,0.724609747
Actinobaculum,Anaeromyxobacter,0.820763564,0.29936302,0.70063698
Actinobaculum,Anaeropeptidivorans,0.844188827,0.279115722,0.720884278
Actinobaculum,Anaerostipes,0.834679077,0.287507324,0.712492676
Actinobaculum,Annandia,0.854150999,0.270045367,0.729954633
Actinobaculum,Aquipseudomonas,0.846327699,0.277193345,0.722806655
Actinobaculum,Atopobium,0.851262154,0.272706661,0.727293339
Actinobaculum,Audreyjarvisvirus,0.866601932,0.258261561,0.741738439
Actinobaculum,Aureibacter,0.833084916,0.28889019,0.71110981
Actinobaculum,Aureimonas,0.855589489,0.268710356,0.731289644
Actinobaculum,Australozyma,0.855475525,0.268816364,0.731183636
Actinobaculum,Babesia,0.804695047,0.312493962,0.687506038
Actinobaculum,Basilea,0.854428692,0.269788165,0.730211835
Actinobaculum,Brevibacillus,0.836038207,0.286323063,0.713676937
Actinobaculum,Caldinitratiruptor,0.803178484,0.31370489,0.68629511
Actinobaculum,Caminibacter,0.82578087,0.295143295,0.704856705
Actinobaculum,Catenovulum,0.831119511,0.290586036,0.709413964
Actinobaculum,Chitinimonas,0.801048781,0.315397542,0.684602458
Actinobaculum,Clostridium,0.812071276,0.306536069,0.693463931
Actinobaculum,Crocosphaera,0.819911538,0.30007371,0.69992629
Actinobaculum,Curculioniphilus,0.826822813,0.294259398,0.705740602
Actinobaculum,Desulfoscipio,0.857062063,0.267336808,0.732663192
Actinobaculum,Dickeya,0.800263333,0.316019514,0.683980486
Actinobaculum,Dolosigranulum,0.80234371,0.31436944,0.68563056
Actinobaculum,Eleftheria,0.824190767,0.296487127,0.703512873
Actinobaculum,Enterococcus,0.824149975,0.296521522,0.703478478
Actinobaculum,Frigidibacter,0.825205722,0.295630072,0.704369928
Actinobaculum,Frigoribacterium,0.812978546,0.305795237,0.694204763
Actinobaculum,Halalkalicoccus,0.831143453,0.290565437,0.709434563
Actinobaculum,Haloplanus,0.813679181,0.305221902,0.694778098
Actinobaculum,Halostagnicola,0.867419529,0.257468902,0.742531098
Aeribacillus,Aristophania,0.812879018,0.305876594,0.694123406
Aeribacillus,Bremerella,0.805537218,0.311819484,0.688180516
Aeribacillus,Delftia,0.830278603,0.291308597,0.708691403
Aeribacillus,Flaviflexus,0.814784199,0.304315462,0.695684538
Aeribacillus,Georgenia,0.833399728,0.288617629,0.711382371
Aeribacillus,Halolamina,0.849111658,0.274671023,0.725328977
Aerococcus,Allotamlana,0.810350755,0.307936068,0.692063932
Aerococcus,Amylolactobacillus,0.829064344,0.292348812,0.707651188
Aerococcus,Aquiluna,0.825591635,0.295303543,0.704696457
Aerococcus,Azospira,0.826221412,0.2947699,0.7052301
Aerococcus,Bremerella,0.814036786,0.304928856,0.695071144
Aerococcus,Dehalococcoides,0.826231011,0.294761759,0.705238241
Aerococcus,Flagellimonas,0.832425123,0.289460599,0.710539401
Aerococcus,Flaviflexus,0.810393916,0.307901026,0.692098974
Aerococcus,Haloprofundus,0.808823787,0.309173263,0.690826737
Aeromicrobium,Anaeropeptidivorans,0.828794535,0.292579447,0.707420553
Aeromicrobium,Austwickia,0.840212507,0.282654819,0.717345181
Aeromicrobium,Basilea,0.808168779,0.309702455,0.690297545
Aeromicrobium,Caldifermentibacillus,0.834779934,0.287419611,0.712580389
Aeromicrobium,Chondrinema,0.800829071,0.315571647,0.684428353
Aeromicrobium,Desemzia,0.805965319,0.311476067,0.688523933
Aeromicrobium,Desulfoscipio,0.807190841,0.310490869,0.689509131
Aeromicrobium,Ferriphaselus,0.808010609,0.309830108,0.690169892
Aeromicrobium,Fretibacter,0.809922988,0.308283159,0.691716841
