module,metadata,type,stat,p,q,n_samples,n_groups,note
1,ba,numeric,0.34156502553198664,0.4076337385331202,0.751667763096194,8,,
2,ba,numeric,0.09759000729485333,0.818177202735276,0.818177202735276,8,,
3,ba,numeric,0.21957751641341997,0.6013342104769552,0.751667763096194,8,,
4,ba,numeric,0.29277002188455997,0.48161781431215467,0.751667763096194,8,,
0,hg,numeric,0.36782605983808475,0.37000798833303294,0.5793935284520092,8,,
1,hg,numeric,0.05073462894318411,0.9050356835102413,0.9050356835102413,8,,
2,hg,numeric,0.5834482328466173,0.12894663049115668,0.32236657622789167,8,,
3,hg,numeric,0.7102848052045775,0.04834893444391568,0.24174467221957838,8,,
4,hg,numeric,0.3044077736591046,0.4635148227616074,0.5793935284520092,8,,
0,pb,numeric,0.7637626158259734,0.027396043909112048,0.13698021954556022,8,,
1,pb,numeric,-0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
2,pb,numeric,0.29615285103456107,0.47632727009702336,0.5954090876212792,8,,
3,pb,numeric,0.6546536707079772,0.07814074941121575,0.19535187352803937,8,,
4,pb,numeric,0.545544725589981,0.16193822846628397,0.26989704744380666,8,,
0,nitratos,numeric,0.5923057020691221,0.12183451362769832,0.30458628406924576,8,,
1,nitratos,numeric,0.15586992159713742,0.7124430540586771,0.7124430540586771,8,,
2,nitratos,numeric,0.34291382751370236,0.405662473506009,0.5070780918825112,8,,
3,nitratos,numeric,0.4520227726316985,0.26082977570213617,0.4347162928368936,8,,
4,nitratos,numeric,0.5923057020691221,0.12183451362769832,0.30458628406924576,8,,
0,oc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,oc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,oc,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,oc,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,oc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,oc2,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,oc2,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,oc2,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,oc2,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,oc2,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,oc3,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,oc3,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,oc3,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,oc3,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,oc3,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,oc4,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,oc4,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,oc4,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,oc4,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,oc4,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,oc5,numeric,0.21821789023599236,0.6036450565101363,0.7545563206376704,8,,
1,oc5,numeric,0.0,1.0,1.0,8,,
2,oc5,numeric,0.6546536707079771,0.07814074941121588,0.23972861122330744,8,,
3,oc5,numeric,0.627376434428478,0.09589144448932298,0.23972861122330744,8,,
4,oc5,numeric,0.32732683535398854,0.4286915072353138,0.7144858453921897,8,,
0,cpyrol,numeric,0.13638618139749523,0.7474293952265143,0.8472491451028784,8,,
1,cpyrol,numeric,0.08183170883849714,0.8472491451028784,0.8472491451028784,8,,
2,cpyrol,numeric,0.40915854419248576,0.31414942752218256,0.7853735688054564,8,,
3,cpyrol,numeric,0.4637130167514838,0.24713781718399952,0.7853735688054564,8,,
4,cpyrol,numeric,0.08183170883849714,0.8472491451028784,0.8472491451028784,8,,
0,ec1,numeric,0.29615285103456107,0.47632727009702336,0.7938787834950389,8,,
1,ec1,numeric,0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
2,ec1,numeric,-0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
3,ec1,numeric,-0.17145691375685118,0.6847632211213339,0.8559540264016674,8,,
4,ec1,numeric,0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
0,ec3,numeric,0.21821789023599236,0.6036450565101363,0.7545563206376704,8,,
1,ec3,numeric,0.0,1.0,1.0,8,,
2,ec3,numeric,0.6546536707079771,0.07814074941121588,0.23972861122330744,8,,
3,ec3,numeric,0.627376434428478,0.09589144448932298,0.23972861122330744,8,,
4,ec3,numeric,0.32732683535398854,0.4286915072353138,0.7144858453921897,8,,
0,ec4,numeric,0.21821789023599236,0.6036450565101363,0.7545563206376704,8,,
1,ec4,numeric,0.0,1.0,1.0,8,,
2,ec4,numeric,0.6546536707079771,0.07814074941121588,0.23972861122330744,8,,
3,ec4,numeric,0.627376434428478,0.09589144448932298,0.23972861122330744,8,,
4,ec4,numeric,0.32732683535398854,0.4286915072353138,0.7144858453921897,8,,
0,c_total,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,c_total,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,c_total,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,c_total,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,c_total,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,soc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
1,soc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
2,soc,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
3,soc,numeric,0.08247860988423225,0.8460525238666443,0.8460525238666443,8,,
4,soc,numeric,0.24743582965269675,0.554646423221937,0.8460525238666443,8,,
0,oc_ec,numeric,-0.14458880781356398,0.7326507408997529,0.7543830198574714,8,,
1,oc_ec,numeric,-0.554257096618662,0.1539883457589951,0.49671449656174965,8,,
2,oc_ec,numeric,0.4337664234406919,0.2829476709180395,0.49671449656174965,8,,
3,oc_ec,numeric,0.132539740495767,0.7543830198574714,0.7543830198574714,8,,
4,oc_ec,numeric,-0.4217173561228949,0.2980286979370498,0.49671449656174965,8,,
0,v_ni,numeric,0.21821789023599242,0.6036450565101361,0.6036450565101361,8,,
1,v_ni,numeric,-0.23380488239570615,0.5773299457258303,0.6036450565101361,8,,
2,v_ni,numeric,0.7325886315065459,0.03873063222381196,0.0968265805595299,8,,
3,v_ni,numeric,0.7637626158259734,0.027396043909112048,0.0968265805595299,8,,
4,v_ni,numeric,0.3273268353539886,0.4286915072353134,0.6036450565101361,8,,
0,temp_out_c,numeric,-0.4790505047653036,0.22974054535741797,0.33937798365321825,8,,
1,temp_out_c,numeric,0.4431217169079058,0.2715023869225746,0.33937798365321825,8,,
2,temp_out_c,numeric,-0.5149792926227014,0.19154931341586592,0.33937798365321825,8,,
3,temp_out_c,numeric,-0.5149792926227014,0.19154931341586592,0.33937798365321825,8,,
4,temp_out_c,numeric,-0.05988131309566295,0.8879906501125185,0.8879906501125185,8,,
0,out_hum_rh,numeric,0.2155727271443866,0.6081490663684048,0.6081490663684048,8,,
1,out_hum_rh,numeric,-0.5389318178609664,0.16811803527951477,0.6081490663684048,8,,
2,out_hum_rh,numeric,0.3233590907165799,0.4346394485508573,0.6081490663684048,8,,
3,out_hum_rh,numeric,0.2515015150017844,0.5479426035598269,0.6081490663684048,8,,
4,out_hum_rh,numeric,-0.3233590907165799,0.4346394485508573,0.6081490663684048,8,,
0,wind_speed_m_s,numeric,0.07185757571479554,0.8657301238340008,0.8657301238340008,8,,
1,wind_speed_m_s,numeric,0.4431217169079058,0.2715023869225746,0.8312927698345691,8,,
2,wind_speed_m_s,numeric,-0.17964393928698885,0.6703442772469387,0.8657301238340008,8,,
3,wind_speed_m_s,numeric,-0.1077863635721933,0.7994604266184202,0.8657301238340008,8,,
4,wind_speed_m_s,numeric,0.3952166664313755,0.33251710793382766,0.8312927698345691,8,,
0,wind_dir,numeric,-0.3353353533357125,0.41679159096427404,0.5209894887053426,8,,
1,wind_dir,numeric,0.467074242146171,0.24326991663399547,0.40544986105665914,8,,
2,wind_dir,numeric,-0.5868368683374969,0.12619898553608933,0.36582883151387596,8,,
3,wind_dir,numeric,-0.5628843430992317,0.1463315326055504,0.36582883151387596,8,,
4,wind_dir,numeric,-0.08383383833392813,0.8435464923328297,0.8435464923328297,8,,
0,bar_mmhg,numeric,-0.16766767666785626,0.691465351646736,0.691465351646736,8,,
1,bar_mmhg,numeric,-0.8503146459584139,0.007471414639953453,0.03735707319976726,8,,
2,bar_mmhg,numeric,0.4910267673844361,0.21660820414021398,0.3610136735670233,8,,
3,bar_mmhg,numeric,0.22754898976351917,0.5878445645010817,0.691465351646736,8,,
4,bar_mmhg,numeric,-0.6347419188140272,0.09089043638915882,0.22722609097289703,8,,
0,rain_mmh2o,numeric,-0.17186001564908274,0.6840512915318457,0.9769853458472622,8,,
1,rain_mmh2o,numeric,-0.5769586239647777,0.13430118862983761,0.335752971574594,8,,
2,rain_mmh2o,numeric,0.06137857701752955,0.885203883089007,0.9769853458472622,8,,
3,rain_mmh2o,numeric,0.012275715403505909,0.9769853458472622,0.9769853458472622,8,,
4,rain_mmh2o,numeric,-0.7242672088068488,0.04216846779740496,0.2108423389870248,8,,
0,solar_rad_w_m2,numeric,-0.4311454542887732,0.28619573480536015,0.7154893370134003,8,,
1,solar_rad_w_m2,numeric,-0.17964393928698885,0.6703442772469387,0.8879906501125185,8,,
2,solar_rad_w_m2,numeric,0.05988131309566295,0.8879906501125185,0.8879906501125185,8,,
3,solar_rad_w_m2,numeric,-0.1077863635721933,0.7994604266184202,0.8879906501125185,8,,
4,solar_rad_w_m2,numeric,-0.5628843430992317,0.1463315326055504,0.7154893370134003,8,,
